UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO_ELECCION;MESA_DE_VOTACION;DESCRIP_ESTADO_ACTA;TIPO_OBSERVACION;N_CVAS;N_ELEC_HABIL;VOTOS_P1;VOTOS_P2;VOTOS_P3;VOTOS_P4;VOTOS_P5;VOTOS_P6;VOTOS_P7;VOTOS_P8;VOTOS_P9;VOTOS_P10;VOTOS_P11;VOTOS_P12;VOTOS_P13;VOTOS_P14;VOTOS_P15;VOTOS_P16;VOTOS_P17;VOTOS_P18;VOTOS_P19;VOTOS_P20;VOTOS_VB;VOTOS_VN;VOTOS_VI
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;28;CONTABILIZADAS NORMALES;;125;138;0;5;4;22;1;0;0;1;22;0;0;1;12;0;1;0;35;0;0;0;17;4;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;29;CONTABILIZADAS NORMALES;;119;136;0;8;4;20;1;1;0;0;20;1;2;0;10;0;0;1;27;1;0;0;21;2;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;30;CONTABILIZADAS NORMALES;;128;139;1;8;3;32;2;1;0;1;21;0;1;0;9;0;0;0;28;0;2;0;19;0;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;31;CONTABILIZADAS NORMALES;;135;145;1;4;6;44;1;0;0;0;17;0;0;0;3;0;0;0;36;1;1;0;15;6;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;32;CONTABILIZADAS NORMALES;;133;144;0;0;4;32;1;0;0;0;19;1;1;0;10;0;0;0;42;1;1;0;20;1;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;33;CONTABILIZADAS NORMALES;;145;151;0;4;6;28;1;0;1;1;33;0;0;0;9;1;0;0;41;0;0;0;15;5;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;34;CONTABILIZADAS NORMALES;;137;148;1;7;4;34;0;1;0;1;22;0;0;0;14;0;0;0;33;0;2;0;16;2;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;36;CONTABILIZADAS NORMALES;;123;139;0;5;7;29;1;0;0;0;22;2;1;0;8;0;0;0;29;0;0;0;18;1;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;37;CONTABILIZADAS NORMALES;;226;250;1;11;8;59;2;2;0;0;35;1;0;0;21;0;0;1;50;0;0;1;33;1;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;38;CONTABILIZADAS NORMALES;;143;158;0;6;4;34;1;0;0;0;31;0;0;0;12;0;0;0;31;0;0;0;18;6;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;39;CONTABILIZADAS NORMALES;;113;131;0;4;4;30;2;0;0;1;20;0;0;0;9;0;1;0;26;0;0;0;14;2;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;40;CONTABILIZADAS NORMALES;;123;131;0;3;5;33;0;0;0;0;19;2;2;0;7;0;0;1;35;0;0;0;11;5;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;41;CONTABILIZADAS NORMALES;;130;144;0;3;2;28;3;0;0;0;26;0;0;0;8;0;0;1;46;0;0;0;12;1;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;42;CONTABILIZADAS NORMALES;;149;158;0;5;4;39;0;1;0;0;25;0;0;0;20;0;0;0;41;0;0;0;11;3;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;43;CONTABILIZADAS NORMALES;;229;250;1;5;3;52;1;1;1;0;39;0;1;1;12;0;0;0;61;0;0;0;43;8;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;45;CONTABILIZADAS NORMALES;;221;248;2;6;7;61;3;0;0;0;40;0;2;0;14;0;0;1;54;0;0;0;28;3;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;46;CONTABILIZADAS ANULADAS;;121;138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;48;CONTABILIZADAS NORMALES;;123;133;0;3;6;26;1;2;1;0;29;0;2;0;13;0;0;0;25;0;0;0;13;2;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;49;CONTABILIZADAS NORMALES;;113;129;0;7;4;32;2;1;0;0;15;0;0;0;7;1;0;0;22;0;0;0;18;4;0
